Model,Accuracy,Precision,Recall,F1-Score
K-Nearest Neighbors (KNN),0.7693843151171044,0.9240168851366363,0.6481726798098651,0.7618960384703458
Linear Discriminant Analysis (LDA),0.76166607523066,0.9249259512417407,0.6326657835268449,0.7513766137615103
Support Vector Machine (SVM),0.7539478353442157,0.9163428571428571,0.6247954492324476,0.7429921697632396
